Step,Seed,Total_Infected,Susc_S0_B0,Immun_S0_B0,Susc_S0_B1,Immun_S0_B1,Susc_S1_B0,Immun_S1_B0,Susc_S1_B1,Immun_S1_B1,Susc_S2_B0,Immun_S2_B0,Susc_S2_B1,Immun_S2_B1,Susc_S3_B0,Immun_S3_B0,Susc_S3_B1,Immun_S3_B1,replicate_uid,seed,n_sites,pop_size,n_steps,engine,pow,mutation_rate,contact_rate,recovery_rate,waning_rate,immune_strength,seed_count,immunity_floor,immunity_ceiling
0,1,2e-05,0.9999799728393555,0.0,0.9999799728393555,0.0,0.9999799728393555,0.0,0.9999799728393555,0.0,0.9999799728393555,0.0,0.9999799728393555,0.0,0.9999799728393555,0.0,0.9999799728393555,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
1,1,3e-05,0.999970018863678,0.0,0.999970018863678,0.0,0.999970018863678,0.0,0.999970018863678,0.0,0.999970018863678,0.0,0.999970018863678,0.0,0.999970018863678,0.0,0.999970018863678,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
2,1,5e-05,0.9999430179595947,9.899999895424116e-06,0.9999499917030334,0.0,0.9999430179595947,9.899999895424116e-06,0.9999499917030334,0.0,0.9999430179595947,9.899999895424116e-06,0.9999499917030334,0.0,0.9999430179595947,9.899999895424116e-06,0.9999499917030334,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
3,1,6e-05,0.9999192357063293,2.9601002097479068e-05,0.9999399781227112,0.0,0.9999192357063293,2.9601002097479068e-05,0.9999399781227112,0.0,0.9999192357063293,2.9601002097479068e-05,0.9999399781227112,0.0,0.9999192357063293,2.9601002097479068e-05,0.9999399781227112,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
4,1,7e-05,0.9999024868011475,3.9204991480801255e-05,0.9999300241470337,0.0,0.9999024868011475,3.9204991480801255e-05,0.9999300241470337,0.0,0.9999024868011475,3.9204991480801255e-05,0.9999300241470337,0.0,0.9999024868011475,3.9204991480801255e-05,0.9999300241470337,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
5,1,0.0001,0.9998520016670227,6.851293437648565e-05,0.9998999834060669,0.0,0.9998520016670227,6.851293437648565e-05,0.9998999834060669,0.0,0.9998520016670227,6.851293437648565e-05,0.9998999834060669,0.0,0.9998520016670227,6.851293437648565e-05,0.9998999834060669,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
6,1,0.00016,0.9997785687446594,8.762782090343535e-05,0.9998400211334229,0.0,0.9997785687446594,8.762782090343535e-05,0.9998400211334229,0.0,0.9997785687446594,8.762782090343535e-05,0.9998400211334229,0.0,0.9997785687446594,8.762782090343535e-05,0.9998400211334229,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
7,1,0.00019,0.9997285008430481,0.00011645152699202299,0.999809980392456,0.0,0.9997285008430481,0.00011645152699202299,0.999809980392456,0.0,0.9997285008430481,0.00011645152699202299,0.999809980392456,0.0,0.9997285008430481,0.00011645152699202299,0.999809980392456,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
8,1,0.00029,0.9996223449707031,0.00012518701259978116,0.9997100234031677,0.0,0.9996223449707031,0.00012518701259978116,0.9997100234031677,0.0,0.9996223449707031,0.00012518701259978116,0.9997100234031677,0.0,0.9996223449707031,0.00012518701259978116,0.9997100234031677,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
9,1,0.00033,0.9995625019073486,0.00015363513375632465,0.9996700286865234,0.0,0.9995625019073486,0.00015363513375632465,0.9996700286865234,0.0,0.9995625019073486,0.00015363513375632465,0.9996700286865234,0.0,0.9995625019073486,0.00015363513375632465,0.9996700286865234,0.0,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
